Name, AROI, CPROI, MYROI
A Few Good Men, 1.355669633 , 1.236137225 , 1.773063514372 , 33000000
American Pie, 3.665876783 , 2.222148209 , 0.764861168783 , 12000000
Blade Runner, -0.358536414 , -0.640560725 , -0.33979763897 , 28000000
The Deer Hunter, 0.833333333 , 0.874469118 , 0.823817036065 , 15000000
Demolition Man, -0.439812765 , -0.836018986 , 0.273721673983 , 57000000
Drop Dead Gorgeous, -0.41857256 , -0.782328935 , -0.530364034129 , 10000000
8mm, -0.498902673 , -0.996837251 , -0.574058319836 , 40000000
Excalibur, 0.71 , 0.773996325 , 0.19584221612 , 11000000
Frozen River, 0.3813118 , 0.466039012 , -0.267039054949 , 1000000
Gran Torino, 2.258096644 , 1.704029399 , 0.435032413466 , 25000000
The Haunting, -0.373076278 , -0.673638175 , 0.484762834676 , 80000000
Heat, -0.381829168 , -0.693922513 , -0.18164408988 , 60000000
The hitchhikers Guide to the Galaxy, -0.376433076 , -0.681383689 , -0.200024682303 , 45000000
The Island, -0.835829982 , -2.606737421 , -0.366556437617 , 120000000
IStill Know What You Did Last Summer, -0.082860746 , -0.124787292 , -0.235098864503 , 24000000
Kalifornia, -0.845014465 , -2.689794519 , -0.304014030927 , 8500000
Knocked Up, 1.9752353 , 1.57300377 , 0.463265537848 , 27500000
Lake Placid, -0.35282492 , -0.627772039 , 0.442083764287 , 27000000
The Last Samurai, -0.56349417 , -1.195927171 , -0.779961102249 , 140000000
Leaving Las Vegas, 3.397769338 , 2.136771937 , 0.200729664731 , 4000000
Liar Liar, 1.21724085 , 1.148765493 , 0.0432736823556 , 45000000
Living in Oblivion, 0.222969 , 0.290387835 , 0.506254685616 , 500000
Lone Star, 0.42575279 , 0.511723856 , -0.293868934002 , 5000000
The Lord of the Rings The Return of the King, 1.210800508 , 1.144568849 , 1.266858952363 , 94000000
Men in Black, 0.531997738 , 0.615414167 , -0.217707676841 , 90000000
Mighty Joe Young, -0.651904746 , -1.522445949 , -0.864705522776 , 80000000
Mimic, -0.532857683 , -1.098065956 , 0.0471603960149 , 30000000
Minority Report, -0.288102032 , -0.490257612 , -0.3351771973009 , 102000000
Ordinary People, 3.79443965 , 2.26136221 , 2.754182014917 , 6000000
Outbreak, -0.253940697 , -0.422637782 , -0.394417473318 , 50000000
Sister Act, 1.476865565 , 1.308515566 , 0.703567491695 , 31000000
Sling Blade, 1.784974129 , 1.477663926 , 1.266219128362 , 4833610
Solaris, -0.824818704 , -2.513079349 , -0.358914550994 , 47000000
Supergirl, -0.775341689 , -2.154195658 , -0.309322461027 , 35000000
The Bodyguard, 1.68280584 , 1.423742648 , 1.514085710703 , 25000000
Tin Cup, -0.341777258 , -0.603352221 , -0.410650197325 , 45000000